1,8
2,6
3,6
4,5
5,8
6,5
7,6
8,8
9,8
10,2
11,4
12,1
13,1
14,1
15,8
16,1
17,8
18,8
19,4
20,3
21,4
22,8
23,1
24,8
25,1
26,8
27,1
28,8
29,6
30,3
31,6
32,3
33,4
34,4
35,5
36,1
37,6
38,7
39,6
40,1
41,1
42,1
43,4
44,6
45,1
46,1
47,3
48,1
49,5
50,2
51,6
52,1
53,1
54,6
55,1
56,4
57,4
58,4
59,1
60,4
61,8
62,8
63,4
64,4
65,1
66,6
67,1
68,1
69,1
70,8
71,8
72,1
73,1
74,1
75,1
76,8
77,8
78,1
79,8
80,6
81,8
82,2
83,2
84,4
85,8
86,1
87,5
88,1
89,1
90,1
91,4
92,8
93,7
94,2
95,1
96,4
97,1
98,5
99,3
100,4
101,8
102,3
103,8
104,3
105,8
106,2
107,3
108,8
109,5
110,4
111,8
112,8
113,8
114,8
115,7
116,1
117,6
118,4
119,4
120,2
121,2
122,2
123,1
124,1
125,7
126,5
127,4
128,4
129,1
130,8
131,8
132,8
133,8
134,1
135,1
136,5
137,6
138,6
139,6
140,8
141,1
142,6
143,8
144,5
145,2
146,6
147,8
148,4
149,3
150,5
151,6
152,6
153,1
154,4
155,1
156,7
157,2
158,3
159,3
160,1
161,7
162,6
163,7
164,1
165,6
166,4
167,1
168,7
169,4
170,4
171,5
172,8
173,6
174,1
175,1
176,6
177,6
178,2
179,2
180,2
181,6
182,5
183,6
184,3
185,3
186,8
187,1
188,6
189,2
190,3
191,7
192,3
193,7
194,6
195,1
196,1
197,1
198,1
199,7
200,7
201,7
202,3
203,3
204,1
205,1
206,3
207,1
208,3
209,6
210,3
211,3
212,6
213,1
214,2
215,3
216,4
217,5
218,3
219,1
220,4
221,7
222,8
223,4
224,5
225,6
226,5
227,1
228,1
229,2
230,1
231,3
232,8
233,1
234,3
235,2
236,6
237,1
238,1
239,5
240,4
241,8
242,6
243,6
244,8
245,7
246,1
247,1
248,3
249,7
250,2
251,2
252,6
253,6
254,8
255,4
256,5
257,3
258,1
259,1
260,1
261,7
262,6
263,4
264,1
265,8
266,8
267,1
268,8
269,3
270,6
271,1
272,1
273,1
274,8
275,3
276,1
277,8
278,6
279,1
280,1
281,1
282,8
283,3
284,4
285,7
286,5
287,4
288,1
289,7
290,4
291,4
292,2
293,8
294,8
295,4
296,4
297,3
298,8
299,5
300,1
301,8
302,5
303,2
304,7
305,2
306,8
307,8
308,5
309,8
310,3
311,4
312,8
313,2
314,2
315,4
316,4
317,7
318,1
319,5
320,3
321,3
322,3
323,3
324,8
325,8
326,6
